TELMEX/SISA Sistema de Búsqueda y Consultas 01/07/13 11:37:11| BELTRAN JESUS OMAR DSFS
Folio|Referencia Servicio|Desc. Articulo|Alcance|Ent. ACO|Cliente|F.Due Date|Fase|Edo|T.P.|F.Edo|F.de Liberación|Contrato|Criticidad|Tipo de Enl|Prioritario|
1390131|DID-1306-0002|Serv. De Acceso Directo A Ext.|Local|ACOPTE|EXTRUSIONES METALICAS|15/07/13|ALT|PPU|ALT|24/06/13|04/06/13 07:55|TX-1306-0001||Principal||
1390147|A32-1306-0001|Ladaenlace 2m V35 Nacional|Nacional|ACOSUR|UNINET|07/07/13|ALT|ERU|CMO|28/06/13|03/06/13 11:03|TX-0904-0681-2|4 |Principal||
1390220|C02-1306-0002|Le Carrier Fast Ethernet 20m Local|Local|ACOSUR|UNINET|08/07/13|ALT|LEA|ALT|26/06/13|07/06/13 13:57|TX-1306-0032|3B|Principal||
1390481|TKS-1306-0023|Troncales Digitales 64k|Local|ACOPTE|CRISTALES AUTOMOTRICES|09/07/13|ALT|PPC|CD2|24/06/13|04/06/13 07:56|TX-0811-1491-1||Principal||
1390502|TKS-1306-0025|Troncales Digitales 64k|Local|ACOPTE|CRISTALES AUTOMOTRICES|09/07/13|ALT|PPC|CD2|24/06/13|04/06/13 08:01|TX-0709-0790-5||Principal||
1390510|A32-1306-0016|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|26/07/13|ALT|ERU|CMO|28/06/13|04/06/13 08:17|TX-0811-1888-2|4 |Principal||
1390530|TKS-1306-0030|Troncales Digitales 64k|Local|ACOSUR|OPERADORA Y ADMINISTRADORA SW|13/07/13|ALT|LEA|ALT|27/06/13|04/06/13 10:52|TX-1306-0273||Principal||
1390614|A32-1306-0023|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|21/06/13|ALT|PPC|CMO|30/06/13|04/06/13 12:33|TX-0906-0473-2|4 |Principal||
1390683|C01-1306-0004|Le Carrier Fast Ethernet 10m Local|Local|ACOPTE|UNINET|11/07/13|ALT|LEA|ALT|20/06/13|12/06/13 17:33|TX-1306-0384|4 |||
1390768|DID-1306-0071|Serv. De Acceso Directo A Ext.|Local|ACOOTE|PROTECCION PATRIMONIAL UNION DE CREDITO S.A. DE C.V.|09/07/13|ALT|ERP|ALT|05/06/13|04/06/13 16:31|TX-1304-0247-3||Principal||
1390838|A32-1306-0037|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|05/07/13|ALT|CON|CD1|01/07/13|05/06/13 10:37|TX-1211-2902-1|4 |Principal||
1391103|TKS-1306-0076|Troncales Digitales 64k|Local|ACOPTE|POLIMEROS NACIONALES|10/07/13|ALT|PPC|ALT|24/06/13|05/06/13 18:51|TX-1306-0684||Principal||
1391215|D32-1306-0152|Ladaenlace 2M-G703 Nacional|Nacional|ACOPTE|UNINET|02/07/13|ALT|PPU|ALT|20/06/13|06/06/13 12:04|TX-1306-0743|4 |Principal||
1391272|A32-1306-0071|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|01/07/13|ALT|ESA|CMO|25/06/13|06/06/13 13:04|TX-1111-1472-1|4 |Principal||
1391492|A32-1306-0086|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|02/07/13|ALT|ESA|CMO|25/06/13|07/06/13 08:41|TX-0810-1617-2|4 |Principal||
1391494|A32-1306-0087|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|02/07/13|ALT|ESA|CMO|25/06/13|07/06/13 08:48|TX-0903-0045-2|4 |Principal||
1391527|A32-1306-0093|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|08/07/13|ALT|ERU|CMO|28/06/13|07/06/13 11:09|TX-0906-0807-2|4 |Principal||
1391561|A32-1306-0099|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|07/07/13|ALT|ERU|CMO|28/06/13|07/06/13 11:57|TX-0808-4011-2|4 |Principal||
1391576|A32-1306-0102|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|01/07/13|ALT|ERU|CMO|28/06/13|07/06/13 11:59|TX-0906-0162-2|4 |Principal||
1391578|A32-1306-0103|Ladaenlace 2m V35 Local|Local|ACOSUR|UNINET|26/06/13|ALT|LEA|CMO|24/06/13|07/06/13 12:03|TX-0809-3293-3|4 |Principal||
